cik,ticker,all_tickers,issuer_edgar,name_source,name_match,form,form25_date,exchange_now,first_bar,last_bar,bars_total,bars_after_form25,status
1553788,SBEV,SBEV|SBEVW,"SPLASH BEVERAGE GROUP, INC.",Splash Beverage Group Inc,True,25-NSE,2025-08-05,NYSE American,2026-07-17,2026-09-04,36,36,still-listed
1906133,ICCT,ICCT,iCoreConnect Inc.,,False,25-NSE,2025-08-06,http:404,,,0,0,no-data
1566826,LGMK,LGMK,"LogicMark, Inc.","LogicMark, Inc.",True,25-NSE,2025-08-06,OTC Markets OTCID,2021-09-07,2026-09-04,1255,273,otc-continuation
2021938,SNRE,SNRE|SNNRF|SNRBY,Sunrise Communications AG,,False,25,2025-08-06,http:404,,,0,0,no-data
1463361,UNBX,UNBX,"Unity Biotechnology, Inc.",,False,25-NSE,2025-08-06,http:404,,,0,0,no-data
1775085,CLEUF,CLEUF,China Liberal Education Holdings Ltd,China Liberal Education Holdings Limited,True,25-NSE,2025-08-07,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,272,otc-continuation
1722969,NXUR,NXUR,"Nxu, Inc.","Nxu, Inc.",True,25-NSE,2025-08-07,OTC Markets OTCPK,2023-05-15,2026-09-04,831,272,otc-continuation
2016420,CHEB,CHEB,Chenghe Acquisition II Co.,,False,25-NSE,2025-08-08,http:404,,,0,0,no-data
1869974,OCEA,OCEA|OCEAW,"Ocean Biomedical, Inc.","Ocean Biomedical, Inc.",True,25-NSE,2025-08-08,OTC Markets OTCPK,2023-02-15,2026-09-04,892,271,otc-continuation
1293818,OPGN,OPGN,OPGEN INC,,False,25-NSE,2025-08-08,http:404,,,0,0,no-data
1381074,RTCJD,RTCJD|RTCJF,Baijiayun Group Ltd,,False,25-NSE,2025-08-08,http:404,,,0,0,no-data
1872812,TCBPY,TCBPY|TCBWF,TC BioPharm,,False,25-NSE,2025-08-08,http:404,,,0,0,no-data
1946573,NAKA,NAKA|NAKAW,"Kindly MD, Inc.",Nakamoto Inc.,False,25,2025-08-15,NasdaqGM,2024-05-31,2026-09-04,568,266,identity-mismatch
96793,SSY,SSY,SUNLINK HEALTH SYSTEMS INC,,False,25-NSE,2025-08-15,http:404,,,0,0,no-data
1539638,TFIN,TFIN|TFINP,"Triumph Financial, Inc.","Triumph Financial, Inc.",True,25,2025-08-18,NYSE,2021-09-07,2026-09-04,1255,265,still-listed
1981462,LDTCF,LDTCF|LDTDF,LeddarTech Holdings Inc.,LeddarTech Holdings Inc.,True,25-NSE,2025-08-22,OTC Markets OTCPK,2023-12-22,2026-09-04,677,261,otc-continuation
1642122,AC,AC,"Associated Capital Group, Inc.",,False,25,2025-08-25,http:404,,,0,0,no-data
1113423,CSCI,CSCI,COSCIENS Biopharma Inc.,,False,25,2025-08-26,http:404,,,0,0,no-data
1799208,DNB,DNB,"Dun & Bradstreet Holdings, Inc.",,False,25-NSE,2025-08-26,http:404,,,0,0,no-data
1258943,MAV,MAV,"PIONEER MUNICIPAL HIGH INCOME ADVANTAGE FUND, INC.",,False,25-NSE,2025-08-27,http:404,,,0,0,no-data
1223026,MHI,MHI,"PIONEER MUNICIPAL HIGH INCOME FUND, INC.",,False,25-NSE,2025-08-27,http:404,,,0,0,no-data
1864290,MIO,MIO,"Pioneer Municipal High Income Opportunities Fund, Inc.",,False,25-NSE,2025-08-27,http:404,,,0,0,no-data
1854401,BRDG,BRDG,Bridge Investment Group Holdings Inc.,,False,25-NSE,2025-09-02,http:404,,,0,0,no-data
1600438,GMS,GMS,GMS Inc.,,False,25-NSE,2025-09-04,http:404,,,0,0,no-data
1230992,MAG,MAG,MAG SILVER CORP,,False,25-NSE,2025-09-04,http:404,,,0,0,no-data
