event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_VFF_2025-06-02,VFF,form4_cluster_buy,2025-06-02T00:00:00,2025-06-03,2025-09-03,63,1.047619,SPY,0.08313,0.964489,ok
f4_MATV_2025-06-03,MATV,form4_cluster_buy,2025-06-03T00:00:00,2025-06-04,2025-09-04,63,0.871897,SPY,0.092476,0.779421,ok
f4_NCDL_2025-06-06,NCDL,form4_cluster_buy,2025-06-06T00:00:00,2025-06-09,2025-09-09,63,-0.000313,SPY,0.087668,-0.087981,ok
f4_BWFG_2025-06-09,BWFG,form4_cluster_buy,2025-06-09T00:00:00,2025-06-10,2025-09-10,63,0.25871,SPY,0.084662,0.174048,ok
f4_IMUX_2025-06-09,IMUX,form4_cluster_buy,2025-06-09T00:00:00,2025-06-10,2025-09-10,63,-0.014689,SPY,0.084662,-0.099351,ok
f4_BARK_2025-06-11,BARK,form4_cluster_buy,2025-06-11T00:00:00,2025-06-12,2025-09-12,63,0.009143,SPY,0.092097,-0.082954,ok
f4_QTRX_2025-06-13,QTRX,form4_cluster_buy,2025-06-13T00:00:00,2025-06-16,2025-09-16,63,-0.144246,SPY,0.098346,-0.242592,ok
f4_VRA_2025-06-13,VRA,form4_cluster_buy,2025-06-13T00:00:00,2025-06-16,2025-09-16,63,-0.133891,SPY,0.098346,-0.232237,ok
f4_ASIC_2025-06-16,ASIC,form4_cluster_buy,2025-06-16T00:00:00,2025-06-17,2025-09-17,63,-0.125954,SPY,0.106436,-0.23239,ok
f4_HURC_2025-06-16,HURC,form4_cluster_buy,2025-06-16T00:00:00,2025-06-17,2025-09-17,63,0.169005,SPY,0.106436,0.062569,ok
f4_IMRX_2025-06-23,IMRX,form4_cluster_buy,2025-06-23T00:00:00,2025-06-24,2025-09-23,63,1.921769,SPY,0.096029,1.825739,ok
f4_AMPY_2025-06-24,AMPY,form4_cluster_buy,2025-06-24T00:00:00,2025-06-25,2025-09-24,63,0.428572,SPY,0.09193,0.336641,ok
f4_INTG_2025-07-01,INTG,form4_cluster_buy,2025-07-01T00:00:00,2025-07-02,2025-10-01,63,0.745455,SPY,0.08035,0.665104,ok
f4_COSO_2025-07-07,COSO,form4_cluster_buy,2025-07-07T00:00:00,2025-07-08,2025-10-06,63,0.034981,SPY,0.08565,-0.050668,ok
f4_CIVB_2025-07-15,CIVB,form4_cluster_buy,2025-07-15T00:00:00,2025-07-16,2025-10-14,63,-0.002411,SPY,0.063833,-0.066244,ok
f4_BRCC_2025-07-22,BRCC,form4_cluster_buy,2025-07-22T00:00:00,2025-07-23,2025-10-21,63,-0.294416,SPY,0.061401,-0.355817,ok
f4_CHMG_2025-07-25,CHMG,form4_cluster_buy,2025-07-25T00:00:00,2025-07-28,2025-10-24,63,0.017254,SPY,0.066235,-0.048981,ok
f4_DMAC_2025-07-25,DMAC,form4_cluster_buy,2025-07-25T00:00:00,2025-07-28,2025-10-24,63,0.359684,SPY,0.066235,0.293449,ok
f4_FBIZ_2025-08-01,FBIZ,form4_cluster_buy,2025-08-01T00:00:00,2025-08-04,2025-10-31,63,0.084383,SPY,0.083624,0.000759,ok
f4_JMSB_2025-08-01,JMSB,form4_cluster_buy,2025-08-01T00:00:00,2025-08-04,2025-10-31,63,0.024129,SPY,0.083624,-0.059495,ok
f4_PCB_2025-08-01,PCB,form4_cluster_buy,2025-08-01T00:00:00,2025-08-04,2025-10-31,63,0.018428,SPY,0.083624,-0.065196,ok
f4_OBIO_2025-08-05,OBIO,form4_cluster_buy,2025-08-05T00:00:00,2025-08-06,2025-11-04,63,0.416667,SPY,0.070059,0.346607,ok
f4_SI_2025-08-05,SI,form4_cluster_buy,2025-08-05T00:00:00,2025-08-06,2025-11-04,63,-0.144717,SPY,0.070059,-0.214776,ok
f4_ASUR_2025-08-06,ASUR,form4_cluster_buy,2025-08-06T00:00:00,2025-08-07,2025-11-05,63,-0.002421,SPY,0.074668,-0.077089,ok
f4_CLAR_2025-08-07,CLAR,form4_cluster_buy,2025-08-07T00:00:00,2025-08-08,2025-11-06,63,-0.051095,SPY,0.054911,-0.106006,ok
f4_AVBC_2025-08-08,AVBC,form4_cluster_buy,2025-08-08T00:00:00,2025-08-11,2025-11-07,63,0.061464,SPY,0.058042,0.003422,ok
f4_AVBH_2025-08-11,AVBH,form4_cluster_buy,2025-08-11T00:00:00,2025-08-12,2025-11-10,63,0.061429,SPY,0.063233,-0.001804,ok
f4_NMFC_2025-08-12,NMFC,form4_cluster_buy,2025-08-12T00:00:00,2025-08-13,2025-11-11,63,-0.054171,SPY,0.062032,-0.116202,ok
f4_KRO_2025-08-14,KRO,form4_cluster_buy,2025-08-14T00:00:00,2025-08-15,2025-11-13,63,-0.191397,SPY,0.047344,-0.238741,ok
f4_AIOT_2025-08-18,AIOT,form4_cluster_buy,2025-08-18T00:00:00,2025-08-19,2025-11-17,63,0.03211,SPY,0.043303,-0.011193,ok
f4_EPSN_2025-08-20,EPSN,form4_cluster_buy,2025-08-20T00:00:00,2025-08-21,2025-11-19,63,-0.16251,SPY,0.045499,-0.20801,ok
f4_PEW_2025-08-20,PEW,form4_cluster_buy,2025-08-20T00:00:00,2025-08-21,2025-11-19,63,-0.330275,SPY,0.045499,-0.375775,ok
f4_ACOG_2025-08-21,ACOG,form4_cluster_buy,2025-08-21T00:00:00,2025-08-22,2025-11-20,63,-0.280247,SPY,0.013992,-0.294239,ok
f4_AEBI_2025-08-21,AEBI,form4_cluster_buy,2025-08-21T00:00:00,2025-08-22,2025-11-20,63,-0.135946,SPY,0.013992,-0.149938,ok
f4_STRZ_2025-08-21,STRZ,form4_cluster_buy,2025-08-21T00:00:00,2025-08-22,2025-11-20,63,-0.197339,SPY,0.013992,-0.211331,ok
f4_TPVG_2025-08-22,TPVG,form4_cluster_buy,2025-08-22T00:00:00,2025-08-25,2025-11-21,63,0.01792,SPY,0.02862,-0.0107,ok
f4_INR_2025-08-25,INR,form4_cluster_buy,2025-08-25T00:00:00,2025-08-26,2025-11-24,63,-0.074205,SPY,0.039407,-0.113612,ok
f4_MX_2025-08-26,MX,form4_cluster_buy,2025-08-26T00:00:00,2025-08-27,2025-11-25,63,-0.249211,SPY,0.046799,-0.29601,ok
f4_FFAI_2025-08-26,FFAI,form4_cluster_buy,2025-08-26T00:00:00,2025-08-27,2025-11-25,63,-0.516807,SPY,0.046799,-0.563606,ok
f4_DGICA_2025-08-28,DGICA,form4_cluster_buy,2025-08-28T00:00:00,2025-08-29,2025-11-28,63,0.1363,SPY,0.062375,0.073925,ok
f4_AFCG_2025-08-29,AFCG,form4_cluster_buy,2025-08-29T00:00:00,2025-09-02,2025-12-01,63,-0.35277,SPY,0.065419,-0.41819,ok
f4_AARD_2025-09-12,AARD,form4_cluster_buy,2025-09-12T00:00:00,2025-09-15,2025-12-12,63,0.450251,SPY,0.034407,0.415844,ok
f4_CAMP_2025-09-15,CAMP,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-12-15,63,1.436823,SPY,0.034269,1.402554,ok
f4_TTGT_2025-09-15,TTGT,form4_cluster_buy,2025-09-15T00:00:00,2025-09-16,2025-12-15,63,-0.206107,SPY,0.034269,-0.240376,ok
f4_MSIF_2025-09-29,MSIF,form4_cluster_buy,2025-09-29T00:00:00,2025-09-30,2025-12-30,63,0.014471,SPY,0.034315,-0.019844,ok
